teamID;W;L;R;Avg;2B;3B;HR;BB;SO;SB;RA;ERA;CG;SV;HA;HRA;BBA;SOA;E
PIT1999;78;83;775;0.2591441112;282;40;171;573;1197;112;782;4.33;8;34;1444;160;633;1083;147
SDN1999;74;88;710;0.2521319985;256;22;153;631;1169;174;781;4.47;5;43;1454;193;529;1078;129
SFN1999;86;76;872;0.270896998;307;18;188;696;1028;109;831;4.71;6;42;1486;194;655;1076;105
SLN1999;75;86;809;0.2622980251;274;27;194;613;1202;134;838;4.74;5;38;1519;161;667;1025;132
ANA2000;82;80;864;0.2796730633;309;34;236;608;1024;93;869;5;5;46;1534;228;662;846;134
BAL2000;74;88;794;0.2717606776;310;22;184;558;900;126;913;5.37;14;33;1547;202;665;1017;116
BOS2000;85;77;792;0.2669626998;316;32;167;611;1019;43;745;4.23;7;46;1433;173;499;1121;109
CHA2000;95;67;978;0.2860432164;325;33;216;591;960;119;839;4.66;5;43;1509;195;614;1037;133
CLE2000;90;72;950;0.288404012;310;30;221;685;1057;113;816;4.84;6;34;1511;173;666;1213;72
DET2000;79;83;823;0.2751594614;307;41;177;562;982;83;827;4.71;6;44;1583;177;496;978;105
KCA2000;77;85;879;0.2879663689;281;27;150;511;840;121;930;5.48;10;29;1585;239;693;927;102
MIN2000;69;93;748;0.2699910953;325;49;116;556;1021;90;880;5.15;6;35;1634;212;516;1042;102
NYA2000;87;74;871;0.2773578114;294;25;205;631;1007;99;814;4.76;9;40;1458;177;577;1040;109
OAK2000;91;70;947;0.2699640288;281;23;239;750;1159;40;813;4.58;7;43;1535;158;615;963;134
SEA2000;91;71;907;0.2694196835;300;26;198;775;1073;122;780;4.5;4;44;1442;167;634;998;99
TBA2000;69;92;733;0.2568574024;253;22;162;559;1022;90;842;4.86;10;38;1553;198;533;955;118
TEX2000;71;91;848;0.2834631728;330;35;173;580;922;69;974;5.52;3;39;1683;202;661;918;135
TOR2000;83;79;861;0.2751453232;328;21;244;526;1026;89;908;5.14;15;37;1615;195;560;978;100
ARI2000;85;77;792;0.2652433508;282;44;179;535;975;97;754;4.35;16;38;1441;190;500;1220;107
ATL2000;95;67;810;0.2714519949;274;26;179;595;1010;148;714;4.05;13;53;1428;165;484;1093;129
CHN2000;65;97;764;0.2556930249;272;23;183;632;1120;93;904;5.25;10;39;1505;231;658;1143;100
CIN2000;85;77;825;0.2741792369;302;36;200;559;995;100;765;4.33;8;42;1446;190;659;1015;111
COL2000;82;80;968;0.2939929329;320;53;161;601;907;131;897;5.26;7;33;1568;221;588;1001;94
